state,Male ,Female,Person
Andhra Pradesh,86,74,80
Arunachal Pradesh,88,77,83
Assam,92,85,89
Bihar,83,71,77
Chhatisgarh,91,77,84
Goa,93,87,90
Gujarat,91,81,86
Haryana,89,77,83
Himachal Pradesh,93,88,91
Jammu & Kashmir,84,69,77
Jharkhand,88,76,82
Karnataka,90,81,86
Kerala,97,93,95
Madhya Pradesh,89,77,83
Maharashtra,92,85,89
Manipur,92,79,85
Meghalaya,93,89,91
Mizoram,98,97,98
Nagaland,92,87,90
Odisha,91,80,86
Punjab,87,79,83
Rajasthan,88,71,80
Sikkim,92,85,89
Tamil Nadu,92,82,87
Tripura,96,91,94
Uttar Pradesh,80,69,75
Uttaranchal,89,79,85
West Bengal,88,81,85
Andaman & Nicobar Islands,93,87,90
Chandigarh,90,81,86
Dadra & Nagar Haveli,94,83,90
Daman and Diu,92,83,89
NCT OF Delhi,91,81,86
Lakshadweep,96,88,92
Puducherry,93,84,89
Telangana,86,74,80
