party,total_votes,percent_of_vote
12,BJP,161047761,30.97
1,INC,96641749,18.58
3,BSP,22434033,4.31
64,AITC,21215661,4.08
69,SP,18632568,3.58
283,ADMK,18111579,3.48
44,CPM,17938138,3.45
4,IND,15888094,3.06
2,TDP,14099230,2.71
15,YSRCP,13995435,2.69
18,AAAP,11036817,2.12
25,SHS,10262544,1.97
285,DMK,9631246,1.85
13,NCP,8635558,1.66
49,RJD,7440937,1.43
0,TRS,6736270,1.3
59,JD(U),5984608,1.15
5,NOTA,5445287,1.05
46,CPI,4204428,0.81
61,JD(S),3731481,0.72
260,SAD,3636148,0.7
147,INLD,2799899,0.54
68,AIUDF,2333040,0.45
101,LJP,2295929,0.44
282,DMDK,2078843,0.4
292,PMK,1827566,0.35
37,RSP,1666380,0.32
424,JVM,1579772,0.3
70,JMM,1465010,0.28
290,MDMK,1417535,0.27
30,AIFB,1211418,0.23
85,BLSP,1078473,0.21
249,SWP,1105073,0.21
36,IUML,1100096,0.21
47,CPI(ML)(L),978153,0.19
251,NPF,994505,0.19
206,AD,820155,0.16
14,BMUP,763532,0.15
232,MNS,708010,0.14
170,JKPDP,732644,0.14
153,HJCBL,703698,0.14
22,AIMIM,685730,0.13
45,RLD,696918,0.13
284,VCK,606110,0.12
214,NPEP,576448,0.11
67,AGP,577730,0.11
243,PWPI,497721,0.1
98,PECP,518724,0.1
35,SUCI,482116,0.09
425,AJSUP,481667,0.09
143,RSPS,458580,0.09
195,KEC(M),424194,0.08
171,JKN,396713,0.08
187,SDPI,396524,0.08
224,BBM,360854,0.07
368,QED,354577,0.07
71,BOPF,330106,0.06
235,BVA,293681,0.06
192,SJD,307597,0.06
303,PT,262812,0.05
298,MAMAK,236679,0.05
452,AINRC,255826,0.05
427,JKP,203869,0.04
6,PPOI,185478,0.04
17,WPOI,228645,0.04
16,RPI(A),201978,0.04
24,JaSPa,204260,0.04
106,GGP,201722,0.04
433,JBSP,215607,0.04
280,SDF,163698,0.03
20,LSP,165670,0.03
252,UDP,106817,0.02
7,RPI,87952,0.02
321,RPD,95644,0.02
73,BED,90314,0.02
431,MCO,110185,0.02
281,SKM,121956,0.02
270,nuzp,124990,0.02
96,JDP,105435,0.02
181,CPIM,88843,0.02
124,SBSP,118947,0.02
28,ABML(S),59735,0.01
412,RaJSP,32514,0.01
103,RSMD,30888,0.01
306,AMB,74626,0.01
277,BYS,38633,0.01
29,pjdl,28671,0.01
318,NAP,36181,0.01
215,APoI,64922,0.01
162,RUC,56324,0.01
198,BA S D,59815,0.01
167,ABHM,29483,0.01
196,RSPK(B),43051,0.01
346,jhspt,27122,0.01
41,SP(I),41518,0.01
173,JPC,71154,0.01
175,ASP,27589,0.01
360,SPP,30805,0.01
179,KAP,33172,0.01
148,BSCP,75966,0.01
123,PMSP,39039,0.01
99,RKSP,46756,0.01
76,JDR,53864,0.01
88,BVM,45667,0.01
75,JMBP,57988,0.01
74,JPS,47696,0.01
81,ravp,38992,0.01
83,LD,48202,0.01
78,JKNPP,57103,0.01
