party,total_votes,percent_of_vote
BJP,229076879,37.3
INC,119495214,19.46
AITC,24929330,4.06
BSP,22246501,3.62
IND,16583326,2.7
SP,15647206,2.55
YSRCP,15537006,2.53
DMK,14363332,2.34
SHS,12858904,2.09
TDP,12515345,2.04
CPIM,10835553,1.76
BJD,10174021,1.66
JD(U),8926679,1.45
NCP,8500331,1.38
ADMK,8307345,1.35
TRS,7696848,1.25
RJD,6632247,1.08
NOTA,6522772,1.06
SAD,3778574,0.62
VBA,3743560,0.61
CPI,3576184,0.58
JD(S),3457107,0.56
LJP,3206979,0.52
AAAP,2716629,0.44
PMK,2297431,0.37
JMM,1901976,0.31
JnP,1915127,0.31
NTK,1695074,0.28
IUML,1592467,0.26
MNM,1613708,0.26
BLSP,1462518,0.24
RLD,1447363,0.24
AGP,1480697,0.24
AIUDF,1402088,0.23
AIMIM,1201542,0.2
ADAL,1039478,0.17
HAMS,956501,0.16
DMDK,929590,0.15
SWP,834380,0.14
RSP,709685,0.12
JVM,750799,0.12
CPI(ML)(L),711715,0.12
VSIP,660706,0.11
RLTP,660051,0.11
AJSUP,648277,0.11
JNJP,619970,0.1
BTP,539319,0.09
NDPP,500510,0.08
VCK,507261,0.08
LIP,469784,0.08
BVA,491596,0.08
SUCI(C),403835,0.07
BOPF,446774,0.07
BMUP,405949,0.07
KEC(M),421046,0.07
NPEP,425986,0.07
APoI,381070,0.06
NPF,363527,0.06
PSPL,347026,0.06
BDJS,380847,0.06
SBSP,313925,0.05
UPPL,312435,0.05
AIFB,322507,0.05
JKN,280356,0.05
MSHP,281578,0.05
PUNEKP,296620,0.05
UDP,267256,0.04
INLD,240258,0.04
AINRC,247956,0.04
MNF,224286,0.04
TMC(M),220849,0.04
KEC,155135,0.03
JDL,203369,0.03
SKM,166922,0.03
SDF,154489,0.03
SDPI,169680,0.03
GGP,210088,0.03
NAWPP,161645,0.03
BSCP,105997,0.02
JPC,133612,0.02
JAPL,97631,0.02
PPID,153103,0.02
VPI,105972,0.02
UPJP,120800,0.02
HND,122972,0.02
BAHUMP,46185,0.01
BLSD,34643,0.01
RVNP,42905,0.01
JKP,35060,0.01
JKNPP,39760,0.01
AJPR,31017,0.01
LTSP,55280,0.01
RPI(A),71524,0.01
SAD(M),52185,0.01
MADP,59235,0.01
PDP,39856,0.01
TJS,57073,0.01
TNLK,37356,0.01
AAM,34845,0.01
ACDP,40214,0.01
PPOI,77169,0.01
BARESP,54266,0.01
PUJP,43892,0.01
SPAKP,33366,0.01
BNARP,31308,0.01
ABGP,48426,0.01
ASP,35076,0.01
NEINDP,37221,0.01
AHNP,50071,0.01
JANADIP,79975,0.01
AMB,36570,0.01
BJKVP,40906,0.01
ANC,49149,0.01
SSD,63543,0.01
JKPDP,84054,0.01
BLND,32445,0.01
RSOSP,30983,0.01
BHAPRAP,92100,0.01
RSPSR,58110,0.01
RAHIS,67782,0.01
RJBP,55868,0.01
JKiP,33902,0.01
IPFT,89529,0.01
ASDC,36915,0.01
FJP,564,0.0
KARASP,512,0.0
UDFS,451,0.0
BhBSP,2210,0.0
BaJD,489,0.0
BHHF,6508,0.0
RBP,584,0.0
BaHaP,1886,0.0
JaSD,5758,0.0
JSP,2484,0.0
NaLP,1628,0.0
MKUP,687,0.0
RSMD,6918,0.0
BSKP,829,0.0
BLokSP,3271,0.0
RtrJP,1264,0.0
BNIP,932,0.0
BKPP,9503,0.0
BMJP,822,0.0
AJPI,16749,0.0
VIP,3756,0.0
RVyP,1326,0.0
ADRSP,3423,0.0
BARP,15907,0.0
RND,1630,0.0
BHABHAPA,1995,0.0
LD,18218,0.0
RPB,1225,0.0
BBPP,1268,0.0
JaSSP,3731,0.0
BND,1047,0.0
NABMUP,1453,0.0
JAAP,1812,0.0
AIRCP,1282,0.0
BJNP,6735,0.0
BNavP,619,0.0
LOKJANP,2725,0.0
RASHLSP,3944,0.0
RBJJP,2291,0.0
SBSPSP,3919,0.0
SACP,1360,0.0
ABLP,503,0.0
SLDP,984,0.0
DAMK,719,0.0
svjn,2554,0.0
RMGLMP,798,0.0
AIP,396,0.0
SUTF,614,0.0
SKPP,1503,0.0
HMSKP,1998,0.0
KRUP,8510,0.0
IICR,2569,0.0
OPD,8304,0.0
RTKP,6997,0.0
IPGP,9538,0.0
NPSF,5798,0.0
RSVP,349,0.0
BJSTP,12416,0.0
BSP(A),6802,0.0
BRKP(D),2880,0.0
BDPty,472,0.0
PLP,692,0.0
ASJP,3678,0.0
IDRP,7784,0.0
SVJSP,1085,0.0
JanSP,11324,0.0
DPI,499,0.0
DPIN,4913,0.0
HSP,1014,0.0
SAKAP,6736,0.0
PPIS,4914,0.0
SADT,10424,0.0
HSS,21771,0.0
SBM,2917,0.0
NFFF,1308,0.0
skd,3877,0.0
MKat,1115,0.0
AIMAK,645,0.0
MSJP,2427,0.0
IVD,718,0.0
TRIPP,2076,0.0
DCLF,596,0.0
FIP,820,0.0
USIP,1244,0.0
CDF,494,0.0
NIDP,2597,0.0
UBM,689,0.0
TTNP,2516,0.0
AIPTMMK,2764,0.0
AIDMMK,1765,0.0
MSKK,2906,0.0
IMK,748,0.0
ETMK,5482,0.0
DUUK,3337,0.0
AMPK,5089,0.0
UMK,9007,0.0
AHIMSASP,972,0.0
VMMKT,1108,0.0
AIUUK,1999,0.0
GPI,11631,0.0
MLJK,265,0.0
NATJUP,6531,0.0
APEP,1368,0.0
MMKA,3599,0.0
AIVP,643,0.0
kajp,1336,0.0
BUNKD,1849,0.0
JSEP,1557,0.0
FDLP,1519,0.0
JHAP,4164,0.0
RJsbhP,16902,0.0
RGOP,1850,0.0
SUSP,2568,0.0
BYPP,3449,0.0
BSHSP,1852,0.0
RP(K),1506,0.0
BHBP,1069,0.0
WPOI,23035,0.0
SSBD,2802,0.0
ABSKP,9912,0.0
BaSaPa,3638,0.0
RJANSWP,4897,0.0
UPNSE,2051,0.0
JKPS,1244,0.0
JMM(U),8672,0.0
JKPP,16195,0.0
AKBJHP,8484,0.0
JKP(N),18869,0.0
RAJADP,1596,0.0
grac,2952,0.0
RJNP,8609,0.0
AIJAP,6495,0.0
PDS,12087,0.0
JeSM,5885,0.0
RaJSP,23580,0.0
NDPOI,7081,0.0
ALINLBP,2707,0.0
UTSAP,2375,0.0
MPOI,4057,0.0
BHMP,6511,0.0
RAHM,440,0.0
JASP,712,0.0
STPI,730,0.0
IUC,4003,0.0
RTSGP,3895,0.0
BHAZS,1527,0.0
UKDD,12629,0.0
CHKAP,3186,0.0
NSBHP,1160,0.0
RHSP,1648,0.0
ESP,1270,0.0
PRISM,1400,0.0
MKDVP,5017,0.0
SJVP,419,0.0
bjdi,435,0.0
CHALP,958,0.0
SPRP,740,0.0
NAPt,1044,0.0
AnAP,1281,0.0
CoAP,275,0.0
BPC,724,0.0
SoJP,805,0.0
NYP,1053,0.0
BhaRP,461,0.0
TECPI,1660,0.0
SAVIPA,688,0.0
YSRPP,1320,0.0
UKKD,8830,0.0
UtPP,2041,0.0
UPP,5351,0.0
PLM,3339,0.0
NPRP,8007,0.0
JASWP,1056,0.0
SJPI,3927,0.0
NIP,1059,0.0
TGPJP,521,0.0
pjdl,1223,0.0
PJSP,4179,0.0
IRNP,2012,0.0
TSP,1048,0.0
BRPPA,1008,0.0
TELYS,3407,0.0
SWJP,1899,0.0
KPPU,12666,0.0
BKrD,4696,0.0
SABJANP,2751,0.0
KMBS,1574,0.0
BSKRP,1948,0.0
KBD,7255,0.0
RaIP,3265,0.0
MDKMGPH,1669,0.0
PHSP,4073,0.0
BaVaP,984,0.0
ABHP,1976,0.0
AIPF,11032,0.0
RAJUP,776,0.0
KSRSP,3303,0.0
KS,12432,0.0
JHBHP,7192,0.0
VIPty,3694,0.0
AYP,921,0.0
rajpt,2058,0.0
PGSP,11752,0.0
INL,3644,0.0
SFP,882,0.0
MARD,973,0.0
AKSP,7569,0.0
BSPM,501,0.0
KHSNP,687,0.0
SDU,6283,0.0
NSCBRAP,2342,0.0
ManKP,1344,0.0
LJSPty,968,0.0
RTJPS,1060,0.0
BAWPA,14060,0.0
ASaP,5504,0.0
RSDal,1548,0.0
NEP,18037,0.0
MwSP,4498,0.0
SDSP,3139,0.0
ASGP,4283,0.0
YVP,2858,0.0
ANNADATA,5147,0.0
bmd,1549,0.0
JANKRPR,4873,0.0
JRPa,2308,0.0
HuSP,1432,0.0
PMSP,8210,0.0
ANIJP,2017,0.0
NJANP,4847,0.0
RASJGP,5768,0.0
MHD,2477,0.0
SJSMP,2041,0.0
ATBP,4737,0.0
ALHP,1764,0.0
BRSP,1695,0.0
AACP,838,0.0
RaAD,1258,0.0
RMMP,1771,0.0
BRPI,14142,0.0
RVLP,3845,0.0
RJBVP,1600,0.0
